quote_id,quote_date,customer_name,alloy_name,product_form,thickness_mm,width_mm,qty_kg,lead_time_days,cert_required,price_total_usd,status
Q-100000,2024-02-22,Customer-190,17-7PH,strip,0.1793,883.75,298.28,35,AMS5528,3296.19,lost
Q-100001,2024-02-23,Customer-189,316L,foil,0.1814,561.91,127.73,35,ASTM_A240,1416.55,won
Q-100002,2024-02-24,Customer-9,17-7PH,strip,0.1212,236.42,156.25,28,EN_10204_3.1,1748.21,won
Q-100003,2024-02-25,Customer-130,316L,foil,0.2905,75.07,51.24,28,ASTM_A240,456.41,pending
Q-100004,2024-02-26,Customer-184,316L,strip,0.1661,255.62,533.46,28,ASTM_A240,5873.13,pending
Q-100005,2024-02-27,Customer-115,17-7PH,sheet,0.1227,221.22,238.25,14,AMS5528,3412.88,pending
Q-100006,2024-02-28,Customer-179,304,sheet,0.1562,827.39,154.41,28,ASTM_A240,1024.51,lost
Q-100007,2024-02-29,Customer-56,304,strip,0.1992,1093.0,160.74,28,ASTM_A240,1156.52,lost
Q-100008,2024-03-01,Customer-25,316L,foil,0.4286,265.37,169.35,28,EN_10204_3.1,1222.55,lost
Q-100009,2024-03-02,Customer-187,304,strip,0.2257,124.42,344.84,28,ASTM_A240,2041.66,lost
Q-100010,2024-03-03,Customer-21,17-7PH,strip,0.01,340.19,120.85,35,EN_10204_3.1,1324.13,pending
Q-100011,2024-03-04,Customer-181,304,strip,0.2629,345.68,234.59,35,ASTM_A240,3040.42,won
Q-100012,2024-03-05,Customer-198,316L,strip,0.2918,26.52,147.5,21,ASTM_A240,1084.03,lost
Q-100013,2024-03-06,Customer-98,316L,foil,0.3017,735.03,386.97,14,ASTM_A240,3418.4,lost
Q-100014,2024-03-07,Customer-95,304,strip,0.3649,95.0,89.58,35,ASTM_A240,1100.49,lost
Q-100015,2024-03-08,Customer-180,316L,strip,0.2445,577.21,365.36,35,EN_10204_3.1,5311.18,pending
Q-100016,2024-03-09,Customer-137,17-7PH,strip,0.3104,298.46,293.15,21,AMS5528,3037.43,pending
Q-100017,2024-03-10,Customer-98,316L,foil,0.1909,147.31,174.31,10,EN_10204_3.1,1468.28,lost
Q-100018,2024-03-11,Customer-216,17-7PH,strip,0.2029,314.16,380.74,35,EN_10204_3.1,4005.59,won
Q-100019,2024-03-12,Customer-103,316L,foil,0.3236,1058.95,586.25,14,EN_10204_3.1,7630.39,lost
Q-100020,2024-03-13,Customer-225,316L,foil,0.2493,968.33,383.46,28,RoHS,3594.4,pending
Q-100021,2024-03-14,Customer-102,304,sheet,0.3126,164.06,180.11,10,EN_10204_3.1,1523.24,pending
Q-100022,2024-03-15,Customer-36,304,sheet,0.1448,523.99,189.81,28,EN_10204_3.1,1666.32,won
Q-100023,2024-03-16,Customer-230,17-7PH,sheet,0.124,650.23,131.34,35,EN_10204_3.1,1568.2,pending
Q-100024,2024-03-17,Customer-36,304,strip,0.0774,218.58,128.48,10,ASTM_A240,1189.21,pending
Q-100025,2024-03-18,Customer-221,304,sheet,0.1959,311.31,219.36,14,ASTM_A240,2659.53,won
Q-100026,2024-03-19,Customer-203,316L,strip,0.1874,427.18,169.85,10,ASTM_A240,1312.62,pending
Q-100027,2024-03-20,Customer-98,304,sheet,0.0247,1183.07,216.84,28,EN_10204_3.1,1355.69,pending
Q-100028,2024-03-21,Customer-175,304,strip,0.0998,967.7,100.17,35,ASTM_A240,1139.98,pending
Q-100029,2024-03-22,Customer-193,316L,strip,0.5286,126.54,314.86,10,RoHS,2173.03,lost
Q-100030,2024-03-23,Customer-76,17-7PH,sheet,0.2121,1032.86,706.49,28,AMS5528,8337.49,lost
Q-100031,2024-03-24,Customer-185,316L,sheet,0.1452,287.27,222.62,28,ASTM_A240,3171.7,pending
Q-100032,2024-03-25,Customer-223,304,sheet,0.01,1008.5,286.23,21,ASTM_A240,2482.19,pending
Q-100033,2024-03-26,Customer-96,304,sheet,0.2834,798.78,178.74,14,ASTM_A240,2615.77,won
Q-100034,2024-03-27,Customer-126,17-7PH,strip,0.2178,1195.58,79.34,28,EN_10204_3.1,848.26,won
Q-100035,2024-03-28,Customer-62,316L,sheet,0.2271,349.07,202.72,21,EN_10204_3.1,2483.62,won
Q-100036,2024-03-29,Customer-22,316L,strip,0.3826,119.29,320.73,28,ASTM_A240,4444.15,pending
Q-100037,2024-03-30,Customer-33,304,sheet,0.0928,25.97,263.97,14,ASTM_A240,2644.0,pending
Q-100038,2024-03-31,Customer-136,304,sheet,0.1976,227.59,242.35,28,EN_10204_3.1,1867.67,pending
Q-100039,2024-04-01,Customer-183,304,sheet,0.0769,786.57,443.7,21,ASTM_A240,5153.98,lost
Q-100040,2024-04-02,Customer-231,304,strip,0.2219,453.9,131.55,35,EN_10204_3.1,1319.05,pending
Q-100041,2024-04-03,Customer-58,304,sheet,0.3308,433.09,203.46,10,ASTM_A240,2210.62,won
